Collection Name,Movies,Year,Style,Movie Type
#,,,,
101 Dalmatians,,,,
,One Hundred and One Dalmatians,1961,Animated,Original
,101 Dalmatians,1996,Live-Action,Original
,102 Dalmatians,2000,Live-Action,Sequel
,101 Dalmatians II: Patch's London Adventure,2003,Animated,Sequel
,Cruella,2020,Live-Action,Reboot
28 Days,,,,
,28 Days Later,2002,Live-Action,Original
,28 Weeks Later,2007,Live-Action,Sequel
3 Ninjas,,,,
,3 Ninjas,1992,Live-Action,Original
,3 Ninjas Kick Back,1994,Live-Action,Sequel
,3 Ninjas Knuckle Up,1995,Live-Action,Sequel
,3 Ninjas: High Noon at Mega Mountain,1998,Live-Action,Sequel
30 Days of Night,,,,
,30 Days of Night,2007,Live-Action,Original
,30 Days of Night: Dark Days,2010,Live-Action,Sequel
300​,,,,
,​300,2006,Live-Action,Original
,300: Rise of an Empire,2014,Live-Action,Sequel
48 Hrs,,,,
,48 Hrs.,1982,Live-Action,Original
,Another 48 Hrs.,1990,Live-Action,Sequel
A,,,,
A Better Tomorrow,,,,
,A Better Tomorrow,1986,Live-Action,Original
,A Better Tomorrow II,1987,Live-Action,Sequel
,A Better Tomorrow III: Love And Death In Saigon,1989,Live-Action,Sequel
,A Better Tomorrow,2010,Live-Action,Remake
,A Better Tomorrow,2018,Live-Action,Remake
A Dog's Purpose,,,,
,A Dog's Purpose,2017,Live-Action,Original
,A Dog's Journey,2019,Live-Action,Sequel
A Haunted House,,,,
,A Haunted House,2013,Live-Action,Original
,A Haunted House 2,2014,Live-Action,Sequel
A Nightmare on Elm Street,,,,
,A Nightmare on Elm Street,1984,Live-Action,Original
,A Nightmare on Elm Street 2: Freddy's Revenge,1985,Live-Action,Sequel
,A Nightmare on Elm Street 3: Dream Warriors,1987,Live-Action,Sequel
,A Nightmare on Elm Street 4: The Dream Master,1988,Live-Action,Sequel
,A Nightmare on Elm Street 5: The Dream Child,1989,Live-Action,Sequel
,Freddy's Dead: The Final Nightmare,1991,Live-Action,Sequel
,New Nightmare,1994,Live-Action,Spin-Off
,Freddy vs. Jason,2003,Live-Action,Spin-Off
,A Nightmare on Elm Street,2010,Live-Action,Reboot
The APU,,,,
,Panther Panchali,1955,Live-Action,Original
,Aparajito,1956,Live-Action,Sequel
,The World of Apu,1959,Live-Action,Sequel
Ace Ventura,,,,
,Ace Ventura: Pet Detective,1994,Live-Action,Original
,Ace Ventura: When Nature Calls,1995,Live-Action,Sequel
,"Ace Ventura, Jr.: Pet Detective",2009,Live-Action,Spin-Off
Addams Family,,,,
,Halloween with the New Addams Family,1977,Live-Action,TV Movie
,The Addams Family,1991,Live-Action,Original
,Addams Family Values,1993,Live-Action,Sequel
,Addams Family Reunion,1998,Live-Action,TV Movie
,The Addams Family,2019,Animated,Remake
Airplane!,,,,
,Airplane!,1980,Live-Action,Original
,Airplane II: The Sequel,1982,Live-Action,Sequel
Aladdin,,,,
,Aladdin,1992,Animated,Original
,The Return of Jafar,1994,Animated,Sequel
,Aladdin and the King of Thieves,1996,Animated,Sequel
,Aladdin,2019,Live-Action,Remake
,Genies,TBA,Live-Action,Prequel
Alex Cross,,,,
,Kiss the Girls,1997,Live-Action,Original
,Along Came a Spider,2001,Live-Action,Sequel
,Alex Cross,2012,Live-Action,Sequel
Alice in Wonderland,,,,
,Alice in Wonderland,1951,Animated,Original
,Alice's Adventures in Wonderland,1972,Live-Action,Original
,Dreamchild,1985,Live-Action,Original
,Neco z Alenky,1988,Live-Action,Original
,Alice in Wonderland,2010,Live-Action,Remake
,Alice Through the Looking Glass,2016,Live-Action,Sequel
Alien vs. Predator,,,,
,Alien vs. Predator,2004,Live-Action,Original
,Aliens vs. Predator: Requiem,2007,Live-Action,Sequel
Alien,,,,
,Alien,1979,Live-Action,Original
,Aliens,1986,Live-Action,Sequel
,Alien³,1992,Live-Action,Sequel
